id	author	documents	citations	total link strength
12	"adarkwah, michael agyemang"	1	646	2
21	"agyemang, brighter"	1	646	2
223	"bozkurt, aras"	1	646	2
285	"chaw, lee yen"	2	1	7
309	"chiu, thomas k.f."	2	103	1
351	"das, dipankar"	1	50	2
382	"dey, monalisa"	1	50	2
484	"garda, kevin"	1	50	2
592	"hickey, daniel t."	1	646	2
616	"huang, ronghuai"	1	646	2
745	"keržič, damijana"	1	1	0
746	"kesarwani, sarthak"	1	8	0
747	"khan, haidar"	1	18	0
748	"khan, md mizanur rahman riad"	1	1	0
749	"khandakar, hissan"	1	0	0
750	"khanfar, ahmad"	1	89	0
751	"khorana, sangeeta"	1	1502	0
752	"kiafar, behdokht"	1	10	0
753	"kim, hyeoncheol"	1	0	0
754	"kim, juho"	1	5	0
755	"kingchang, thanarat"	1	7	0
756	"kirste, thomas"	1	1	0
757	"kiryakoza, fadi"	1	0	0
758	"klisarova-belcheva, stanislava"	1	31	0
759	"klyshbekova, maira"	1	2	0
760	"ko, hongkyu"	1	0	0
761	"kobara, yawo m."	1	2	0
762	"kodali, ravi kishore"	1	0	0
763	"koedinger, kenneth r."	1	0	0
764	"kofuji, sergio takeo"	1	1	0
765	"kokošková, vendula"	1	12	0
766	"konecki, mario"	1	10	0
767	"konecki, mladen"	1	10	0
768	"koohang, alex"	1	1502	0
769	"korolyova, ekaterina vyacheslavovna"	1	0	0
770	"kortbi, imane el"	1	0	0
771	"koshy, richie suresh"	1	0	0
772	"kotis, konstantinos"	1	93	0
773	"kotuwegedara, thamashi"	1	1	0
774	"kovačević, darko"	1	40	0
775	"kowsher, md."	1	28	0
776	"kraus, sascha"	1	1502	0
777	"krauss, christopher"	1	1	0
778	"krishnam, nagendra prasad"	1	0	0
779	"krouska, akrivi"	1	1	0
780	"krusche, stephan"	1	0	0
781	"kshetri, nir"	1	1502	0
782	"kucukergin, kemal gurkan"	1	9	0
783	"kudale, amol"	1	0	0
784	"kullu, pinar"	1	10	0
785	"kumar, aishwarya mudgal sunil"	1	0	0
786	"kumar, amit"	1	4	0
787	"kumar, g.m. prem"	1	0	0
788	"kumar, harsh"	2	0	0
789	"kumar, rajiv"	1	4	0
790	"kumar, vikash"	1	2	0
791	"kumaraswamy, r."	1	0	0
792	"kurup, lakshmi"	1	3	0
793	"kuzmenko, ella yurievna"	1	0	0
794	"kuzminykh, anastasia"	1	0	0
795	"kuznetsov, alexander alexandrovich"	1	0	0
796	"kárpáti, attila"	1	1	0
797	"köhler, thomas"	1	0	0
798	"la marca, alessandra"	1	0	0
799	"lahiala, abdelfattah"	1	0	0
800	"lahiala, mohamed amine"	1	0	0
801	"lakshmi, g."	1	1	0
802	"lam, wing"	1	115	0
803	"lambertsson, karl"	1	0	0
804	"lan, haoyong"	1	0	0
805	"lange, ingrid"	1	28	0
806	"lange, tim"	1	0	10
807	"lange, tim c."	1	1	10
808	"lanman, brandan"	1	20	0
809	"larasati, pramitha dwi"	1	0	0
810	"larsen, kai r."	1	1502	0
811	"latham, annabel"	1	30	0
812	"latoza, thomas d."	1	115	0
813	"latreille, paul"	1	1502	0
814	"latta, jason"	1	2	0
815	"laumer, sven"	1	1502	0
816	"lecce, amelia"	1	0	0
817	"lee, chien ching"	1	0	0
818	"lee, dabae"	2	56	0
819	"lee, hsin-yu"	1	0	0
820	"lee, hwee hoon"	1	0	0
821	"lee, sang-yoon"	1	20	0
822	"lee, seonghee"	1	5	0
823	"lee, terri"	2	181	0
824	"lee, unggi"	2	1	0
825	"lee, yunseo"	1	0	0
826	"lei, yue"	1	2	0
827	"leigh, jason"	1	20	0
828	"leone, antonella"	1	0	0
829	"lepp, haley"	1	8	0
830	"leung, henry m.f."	1	1	0
831	"leung, martin yun-yee"	1	0	0
832	"leung, wai sze"	1	6	0
833	"lezcano, leonardo"	1	15	0
834	"li, danling"	2	45	0
835	"li, erin"	1	3	0
836	"li, jicheng"	1	10	0
837	"li, jingting"	1	4	0
838	"li, kay"	1	21	0
839	"li, lei"	1	6	0
840	"li, lili"	1	2	0
841	"li, ping-ping"	1	14	0
842	"li, sean"	1	3	0
843	"li, xiaojie"	1	5	0
844	"li, yan"	2	15	1
845	"li, yanyan"	1	1	0
846	"li, yujiao"	1	0	0
847	"lieb, anna"	1	2	0
848	"likhita, vangaveti"	1	0	0
849	"limone, pierpaolo"	1	4	0
850	"lin, hung-ming"	1	1	0
851	"lin, jiacheng"	1	17	0
