id,source,documents,citations,total link strength
1,"2021 international conference on computational intelligence and computing applications, iccica 2021",1,115,2
2,computers and education: artificial intelligence,1,444,2
3,education sciences,1,619,0
4,healthcare (switzerland),1,1096,0
5,ieee access,1,998,2
6,ieee transactions on affective computing,1,488,1
7,international journal of artificial intelligence in education,1,412,3
8,international journal of educational technology in higher education,2,1621,0
9,jmir medical education,1,869,0
10,journal of applied learning and teaching,1,646,0
11,smart learning environments,1,642,0
